timestamp(ms),accel_magnitude,gyro,gyro_x,gyro_y,gyro_z,imu_moving,test_target,test_mode,
"1769473625.323",,,,,,,"1","0",
"1769473625.523",,,,,,,"1",,
"1769473625.524",,,,,,,,"0",
"1769473625.723",,,,,,,"1",,
"1769473625.726",,,,,,,,"0",
"1769473625.923",,,,,,,"1","0",
"1769473626.123",,,,,,,"1","0",
"1769473626.323",,,,,,,"1",,
"1769473626.324",,,,,,,,"0",
"1769473626.523",,,,,,,"1",,
"1769473626.524",,,,,,,,"0",
"1769473626.724",,,,,,,"1","0",
"1769473626.932",,,,,,,"1","0",
"1769473627.124",,,,,,,"1","0",
"1769473627.323",,,,,,,"1",,
"1769473627.324",,,,,,,,"0",
"1769473627.524",,,,,,,"1",,
"1769473627.525",,,,,,,,"0",
"1769473627.723",,,,,,,"1","0",
"1769473627.923",,,,,,,"1",,
"1769473627.924",,,,,,,,"0",
"1769473628.228",,,,,,,"1","0",
"1769473628.323",,,,,,,"1","0",
"1769473628.523",,,,,,,"1","0",
"1769473628.723",,,,,,,"1",,
"1769473628.725",,,,,,,,"0",
"1769473628.926",,,,,,,"1",,
"1769473628.929",,,,,,,,"0",
"1769473629.123",,,,,,,"1",,
"1769473629.124",,,,,,,,"0",
"1769473629.326",,,,,,,"1","0",
"1769473629.525",,,,,,,"1",,
"1769473629.53",,,,,,,,"0",
"1769473629.725",,,,,,,"1",,
"1769473629.73",,,,,,,,"0",
"1769473629.924",,,,,,,"1",,
"1769473629.925",,,,,,,,"0",
"1769473630.126",,,,,,,"1",,
"1769473630.129",,,,,,,,"0",
"1769473630.326",,,,,,,"1","0",
"1769473630.523",,,,,,,"1","0",
"1769473630.723",,,,,,,"1",,
"1769473630.725",,,,,,,,"0",
"1769473630.925",,,,,,,"1","0",
"1769473631.125",,,,,,,"1",,
"1769473631.13",,,,,,,,"0",
"1769473631.323",,,,,,,"1",,
"1769473631.324",,,,,,,,"0",
"1769473631.524",,,,,,,"1",,
"1769473631.525",,,,,,,,"0",
"1769473631.723",,,,,,,"1",,
"1769473631.725",,,,,,,,"0",
"1769473631.924",,,,,,,"1",,
"1769473631.929",,,,,,,,"0",
"1769473632.156",,,,,,,"1","0",
"1769473632.324",,,,,,,"1",,
"1769473632.328",,,,,,,,"0",
"1769473632.525",,,,,,,"1","0",
"1769473632.723",,,,,,,"1",,
"1769473632.725",,,,,,,,"0",
"1769473632.923",,,,,,,"1",,
"1769473632.924",,,,,,,,"0",
"1769473633.123",,,,,,,"1",,
"1769473633.125",,,,,,,,"0",
"1769473633.324",,,,,,,"1",,
"1769473633.325",,,,,,,,"0",
"1769473633.523",,,,,,,"1",,
"1769473633.525",,,,,,,,"0",
"1769473633.724",,,,,,,"1",,
"1769473633.728",,,,,,,,"0",
"1769473633.924",,,,,,,"1","0",
"1769473634.124",,,,,,,"1",,
"1769473634.125",,,,,,,,"0",
"1769473634.323",,,,,,,"1","0",
"1769473634.523",,,,,,,"1",,
"1769473634.525",,,,,,,,"0",
"1769473634.724",,,,,,,"1",,
"1769473634.725",,,,,,,,"0",
"1769473634.924",,,,,,,"1",,
"1769473634.932",,,,,,,,"0",
"1769473635.123",,,,,,,"1",,
"1769473635.124",,,,,,,,"0",
"1769473664.359",,,,,"-1.1",,,,
"1769473664.557",,,"-0.61",,,,,,
"1769473664.559",,,,"0.06","-1.4",,,,
"1769473664.753","1",,,,,,,,
"1769473664.759",,,"-0.55",,,,,,
"1769473664.772",,,,"0.06","-1.16",,,,
"1769473664.777",,,,,,"0",,,
"1769473664.953","1",,,,,,,,
"1769473664.958",,,"-0.55",,,,,,
"1769473664.961",,,,"0.3","-0.91","0",,,
"1769473665.153","0.99",,,,,,,,
"1769473665.156",,,"-0.55",,,,,,
"1769473665.158",,,,"-0.55",,,,,
"1769473665.159",,,,,"-1.16",,,,
"1769473665.16",,,,,,"0",,,
"1769473665.353","0.99",,,,,,,,
"1769473665.356",,,"-0.12",,,,,,
"1769473665.362",,,,"0.12",,,,,
"1769473665.363",,,,,"-0.79",,,,
"1769473665.368",,,,,,"0",,,
"1769473665.701","0.98",,"-0.24","0.18","-0.85","0",,,
"1769473665.763","0.99",,,,,,,,
"1769473665.765",,,"-0.61","0.91","-0.91","0",,,
"1769473665.953","0.99",,,,,,,,
"1769473665.956",,,"-0.37",,,,,,
"1769473665.958",,,,"0.12",,,,,
"1769473665.959",,,,,"-0.73",,,,
"1769473665.96",,,,,,"0",,,
"1769473666.153","1",,,,,,,,
"1769473666.16",,,"-0.37",,,,,,
"1769473666.161",,,,"0.49","-0.85",,,,
"1769473666.165",,,,,,"0",,,
"1769473666.355","0.99",,,,,,,,
"1769473666.358",,,"-0.37",,,,,,
"1769473666.36",,,,"0.06","-0.98","0",,,
"1769473666.553","1",,,,,,,,
"1769473666.558",,,"-0.37",,,,,,
"1769473666.559",,,,"0.67","-0.67",,,,
"1769473666.561",,,,,,"0",,,
"1769473666.753","1",,,,,,,,
"1769473666.759",,,"-0.18",,,,,,
"1769473666.76",,,,"0.3","-1.04","0",,,
"1769473666.954","1",,,,,,,,
"1769473666.958",,,"-0.67",,,,,,
"1769473666.96",,,,"-0.06","-0.91","0",,,
"1769473667.158","0.99",,,,,,,,
"1769473667.161",,,"0.12","0","-0.85","0",,,
"1769473667.358","0.99",,,,,,,,
"1769473667.359",,,"0.06",,,,,,
"1769473667.36",,,,"0.24","-1.04","0",,,
"1769473667.553","0.99",,,,,,,,
"1769473667.557",,,"-0.55",,,,,,
"1769473667.558",,,,"0",,,,,
"1769473667.559",,,,,"-0.98",,,,
"1769473667.561",,,,,,"0",,,
"1769473667.753","0.99",,,,,,,,
"1769473667.757",,,"-0.18",,,,,,
"1769473667.758",,,,"-0.12","-0.67",,,,
